电影名字,电影链接,评分,评分人数,导演,主演,年份,国家,类型,一句话评价
幽灵公主/もののけ姫/魔法公主/幽灵少女,https://movie.douban.com/subject/1297359/,8.9,765076,宫崎骏 Hayao Miyazaki,主演: 松田洋治 Yôji Matsuda / 石田百合...,1997,日本,动画奇幻冒险,
甜蜜蜜/Comrades:AlmostaLoveStory,https://movie.douban.com/subject/1305164/,8.9,736971,陈可辛 Peter Chan,主演: 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...,1996,中国香港,剧情爱情,
寄生虫/기생충/寄生上流(台)/上流寄生族(港),https://movie.douban.com/subject/27010768/,8.8,611241,奉俊昊 Joon-ho Bong,主演: 宋康昊 Kang-ho Song / 李善均 Seon-gyun...,2019,韩国,剧情,
天书奇谭/天书奇谭4K纪念版/TheLegendofSealedBook,https://movie.douban.com/subject/1428581/,9.2,734776,王树忱 Shuchen Wang / 钱运达 Yunda Qian,主演: 丁建华 Jianhua Din...,1983(中国大陆),2021,中国大陆,
蝙蝠侠：黑暗骑士崛起/TheDarkKnightRises/蝙蝠侠前传3：黑暗骑士崛起/黑暗骑士：黎明升起(台),https://movie.douban.com/subject/3395373/,8.9,592715,克里斯托弗·诺兰 Christopher Nolan,主演: 克里斯蒂安·贝尔 Christ...,2012,美国英国,剧情动作科幻犯罪惊悚,诺兰就是保证。
超能陆战队/BigHero6/大英雄联盟(港)/大英雄天团(台),https://movie.douban.com/subject/11026735/,8.8,1075600,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,主演: 斯科特...,2014,美国,喜剧动作科幻动画冒险,Balalala~~~
7号房的礼物/7번방의선물/戆爸的礼物(港)/7号囚房的礼物,https://movie.douban.com/subject/10777687/,8.9,862963,李焕庆 Hwan-kyeong Lee,主演: 柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,2013,韩国,剧情喜剧家庭,《我是山姆》的《美丽人生》。
茶馆/TheTeahouse,https://movie.douban.com/subject/1461403/,9.5,771709,谢添 Tian Xie,主演: 于是之 Shizhi Yu / 郑榕 Rong Zhen / 蓝天野 T...,1982(中国大陆),中国大陆,剧情历史,
第六感/TheSixthSense/鬼眼(港)/灵异第六感(台),https://movie.douban.com/subject/1297630/,8.9,705347,M·奈特·沙马兰 M. Night Shyamalan,主演: 布鲁斯·威利斯 Bruce Wi...,1999,美国,剧情悬疑惊悚,
爱在黎明破晓前/BeforeSunrise/情留半天(港)/爱在黎明破晓时(台),https://movie.douban.com/subject/1296339/,8.8,1452143,理查德·林克莱特 Richard Linklater,主演: 伊桑·霍克 Ethan Hawke ...,1995,美国奥地利瑞士,剧情爱情,
爱在日落黄昏时/BeforeSunset/日落巴黎(港)/爱在日落巴黎时(台),https://movie.douban.com/subject/1291990/,8.9,740597,理查德·林克莱特 Richard Linklater,主演: 伊桑·霍克 Ethan Hawke ...,2004,美国法国,剧情爱情,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
被嫌弃的松子的一生/嫌われ松子の一生/花样奇缘(港)/令人讨厌的松子的一生(台),https://movie.douban.com/subject/1787291/,8.8,1076524,中岛哲也 Tetsuya Nakashima,主演: 中谷美纪 Miki Nakatani / 瑛太 E...,2006,日本,剧情歌舞,以戏谑来戏谑戏谑。
头脑特工队/InsideOut/玩转脑朋友(港)/脑筋急转弯(台),https://movie.douban.com/subject/10533913/,8.8,557617,彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,,2015,美国,喜剧动画冒险,愿我们都不用长大，每一座城堡都能永远存在。
哈利·波特与火焰杯/HarryPotterandtheGobletofFire/哈利波特4：火杯的考验(港/台),https://movie.douban.com/subject/1309055/,8.8,602833,迈克·内威尔 Mike Newell,主演: 丹尼尔·雷德克里夫 Daniel Radclif...,2005,英国美国,悬疑奇幻冒险,
未麻的部屋/PerfectBlue/蓝色恐惧(港/台),https://movie.douban.com/subject/1395091/,9.1,579999,今敏 Satoshi Kon,主演: 岩男润子 Junko Iwao / 松本梨香 Rica Matsu...,1997,日本,剧情犯罪动画悬疑惊悚,
重庆森林/重慶森林/ChungkingExpress,https://movie.douban.com/subject/1291999/,8.8,633416,王家卫 Kar Wai Wong,主演: 林青霞 Brigitte Lin / 金城武 Takeshi K...,1994,中国香港,剧情爱情,
借东西的小人阿莉埃蒂/借りぐらしのアリエッティ/借物少女艾莉缇(台)/借东西的小矮人亚莉亚蒂(港),https://movie.douban.com/subject/4202302/,8.9,589198,米林宏昌 Hiromasa Yonebayashi,主演: 志田未来 Mirai Shida / 神木...,2010,日本,动画奇幻冒险,曾经的那段美好会沉淀为一辈子的记忆。
菊次郎的夏天/菊次郎の夏/菊次郎之夏/Kikujirônonatsu,https://movie.douban.com/subject/1293359/,8.9,381027,北野武 Takeshi Kitano,主演: 北野武 Takeshi Kitano / 关口雄介 Yus...,1999,日本,剧情喜剧,
入殓师/おくりびと/礼仪师之奏鸣曲(港)/礼仪师(台),https://movie.douban.com/subject/2149806/,8.9,1013297,泷田洋二郎 Yôjirô Takita,主演: 本木雅弘 Masahiro Motoki / ...,2008,日本,剧情,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
断背山/BrokebackMountain/断臂山/BBM,https://movie.douban.com/subject/1418834/,8.8,345577,李安 Ang Lee,主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...,2005,美国加拿大,剧情爱情同性家庭,每个人心中都有一座断背山。
剪刀手爱德华/EdwardScissorhands/幻海奇缘(港)/剪刀手爱德华,https://movie.douban.com/subject/1292370/,8.7,727255,蒂姆·波顿 Tim Burton,主演: 约翰尼·德普 Johnny Depp / 薇诺娜·...,1990,美国,剧情爱情奇幻,
勇敢的心/Braveheart/惊世未了缘(港)/梅尔吉勃逊之英雄本色(台),https://movie.douban.com/subject/1294639/,8.9,336766,梅尔·吉布森 Mel Gibson,主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...,1995,美国,动作传记剧情历史战争,
时空恋旅人/AboutTime/回到最爱的一天(港)/真爱每一天(台),https://movie.douban.com/subject/10577869/,8.8,650021,理查德·柯蒂斯 Richard Curtis,主演: 多姆纳尔·格里森 Domhnall Gl...,2013,英国美国,喜剧爱情奇幻,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
驯龙高手/HowtoTrainYourDragon/驯龙记(港),https://movie.douban.com/subject/2353023/,8.8,775366,迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,主演:...,2010,美国,动画奇幻冒险,和谐的生活离不开摸头与被摸头。
消失的爱人/GoneGirl/失踪的女孩/失踪女孩,https://movie.douban.com/subject/21318488/,8.7,716126,大卫·芬奇 David Fincher,主演: 本·阿弗莱克 Ben Affleck / 罗莎蒙...,2014,美国,剧情犯罪悬疑惊悚,年度最佳date movie。
无人知晓/誰も知らない/谁知赤子心(港)/无人知晓的夏日清晨(台),https://movie.douban.com/subject/1292337/,9.1,447822,是枝裕和 Hirokazu Koreeda,主演: 柳乐优弥 Yûya Yagira / 北浦爱...,2004,日本,剧情,我的平常生活就是他人的幸福。
傲慢与偏见/Pride&Prejudice/傲慢与偏见2005/PrideAndPrejudice,https://movie.douban.com/subject/1418200/,8.7,985298,乔·怀特 Joe Wright,主演: 凯拉·奈特莉 Keira Knightley / 马修·...,2005,法国英国美国,剧情爱情,爱是摈弃傲慢与偏见之后的曙光。
倩女幽魂/倩女幽魂(87版)/倩女幽魂：妖魔道,https://movie.douban.com/subject/1297447/,8.8,174197,程小东 Siu-Tung Ching,主演: 张国荣 Leslie Cheung / 王祖贤 Joey W...,1987,中国香港,爱情奇幻武侠古装,
新世界/신세계/暗黑新世界(台)/NewWorld,https://movie.douban.com/subject/10437779/,8.9,492364,朴勋政 Hoon-jung Park,主演: 李政宰 Jung-Jae Lee / 崔岷植 Min-sik...,2013,韩国,剧情犯罪,要做就做得狠一点，这样才能活下去。
花样年华/花樣年華/花样年华导演特别版/花样年华4K修复版,https://movie.douban.com/subject/1291557/,8.8,800598,王家卫 Kar Wai Wong,主演: 张曼玉 Maggie Cheung / 梁朝伟 Tony Leu...,2000,中国香港,剧情爱情,
玩具总动员3/ToyStory3/反斗奇兵3(港)/玩具的故事3,https://movie.douban.com/subject/1858711/,8.9,400555,李·昂克里奇 Lee Unkrich,主演: 汤姆·汉克斯 Tom Hanks / 蒂姆·艾...,2010,美国,喜剧动画奇幻冒险,跨度十五年的欢乐与泪水。
一个叫欧维的男人决定去死/EnmansomheterOve/明天别再来敲门(台)/想死冇咁易(港),https://movie.douban.com/subject/26628357/,8.9,481577,汉内斯·赫尔姆 Hannes Holm,主演: 罗夫·拉斯加德 Rolf Lassgård...,2015,瑞典,剧情,惠及一生的美丽。
色，戒/色|戒/色·戒,https://movie.douban.com/subject/1828115/,8.7,719066,李安 Ang Lee,主演: 梁朝伟 Tony Leung Chiu Wai / 汤唯 Wei Tang / ...,2007,中国台湾中国大陆美国中国香港,剧情爱情情色,假戏真情，爱欲深海
完美的世界/APerfectWorld/强盗保镳,https://movie.douban.com/subject/1300992/,9.1,604435,克林特·伊斯特伍德 Clint Eastwood,主演: 凯文·科斯特纳 Kevin Cos...,1993,美国,剧情犯罪,
阳光灿烂的日子/IntheHeatoftheSun,https://movie.douban.com/subject/1291875/,8.8,520454,姜文 Wen Jiang,主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao,1994,中国大陆中国香港,剧情爱情,
"怪兽电力公司/Monsters,Inc./怪兽公司(港)/怪物公司",https://movie.douban.com/subject/1291579/,8.8,855853,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,主演: 约...,2001,美国,儿童喜剧动画奇幻冒险,
教父3/TheGodfather:PartIII/教父第三集/教父III,https://movie.douban.com/subject/1294240/,9,552625,弗朗西斯·福特·科波拉 Francis Ford Coppola,主演: 阿尔·帕西诺 A...,1990,美国,剧情犯罪,
小森林夏秋篇/リトル・フォレスト夏・秋/小森食光/夏秋篇(台),https://movie.douban.com/subject/25814705/,9,707843,森淳一 Junichi Mori,主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,2014,日本,剧情,那些静得只能听见呼吸的日子里，你明白孤独即生活。
天使爱美丽/LeFabuleuxdestind'AméliePoulain/艾蜜莉的异想世界(台)/天使艾米莉,https://movie.douban.com/subject/1292215/,8.7,398361,让-皮埃尔·热内 Jean-Pierre Jeunet,主演: 奥黛丽·塔图 Audrey Tau...,2001,法国德国,剧情喜剧爱情,
侧耳倾听/耳をすませば/心之谷(台)/梦幻街少女(港),https://movie.douban.com/subject/1297052/,8.9,647040,近藤喜文 Yoshifumi Kondo,主演: 本名阳子 Youko Honna / 小林桂树 K...,1995,日本,剧情爱情动画,
哪吒闹海/PrinceNezha'sTriumphAgainstDragonKing/NezhaConquerstheDragonKing,https://movie.douban.com/subject/1307315/,9.2,882636,王树忱 Shuchen Wang / 严定宪 Dingxian Yan,主演: 梁正晖 Zhenghui ...,1979,中国大陆,冒险动画奇幻,
九品芝麻官/九品芝麻官之白面包青天/HailtheJudge,https://movie.douban.com/subject/1297518/,8.8,573287,王晶 Jing Wong,主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng / ...,1994,中国香港,剧情喜剧古装,
被解救的姜戈/DjangoUnchained/被解放的姜戈/决杀令(台),https://movie.douban.com/subject/6307447/,8.8,1268617,昆汀·塔伦蒂诺 Quentin Tarantino,主演: 杰米·福克斯 Jamie Foxx /...,2012,美国,剧情动作西部冒险,热血沸腾，那个低俗、性感的无耻混蛋又来了。
请以你的名字呼唤我/CallMebyYourName/以你的名字呼唤我(港/台),https://movie.douban.com/subject/26799731/,8.8,994836,卢卡·瓜达尼诺 Luca Guadagnino,主演: 艾米·汉莫 Armie Hammer / ...,2017,意大利法国巴西美国,剧情爱情同性,沉醉在电影的情感和视听氛围中无法自拔。
幸福终点站/TheTerminal/机场客运站(港)/航站情缘(台),https://movie.douban.com/subject/1292274/,8.8,732627,史蒂文·斯皮尔伯格 Steven Spielberg,主演: 汤姆·汉克斯 Tom Hanks...,2004,美国,喜剧剧情爱情,有时候幸福需要等一等。
釜山行/부산행/尸杀列车(港)/尸速列车(台),https://movie.douban.com/subject/25986180/,8.6,276907,延尚昊 Sang-ho Yeon,主演: 孔刘 Yoo Gong / 郑有美 Yu-mi Jung / 马...,2016,韩国,动作惊悚灾难,揭露人性的丧尸题材力作。
神偷奶爸/DespicableMe/卑鄙的我/坏蛋奖门人(港),https://movie.douban.com/subject/3287562/,8.7,703412,皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,主演: ...,2010,美国法国,喜剧动画冒险,Mr. I Don't Care其实也有Care的时候。
小森林冬春篇/リトル・フォレスト冬・春/小森食光/冬春篇(台),https://movie.douban.com/subject/25814707/,9,393397,森淳一 Junichi Mori,主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,2015,日本,剧情,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
喜宴/囍宴/TheWeddingBanquet,https://movie.douban.com/subject/1303037/,9,437487,李安 Ang Lee,主演: 赵文瑄 Winston Chao / 归亚蕾 Ya-lei Kuei / 郎...,1993,中国台湾美国,剧情喜剧爱情同性家庭,
萤火之森/蛍火の杜へ/萤火之社/Hotarubinomorie,https://movie.douban.com/subject/5989818/,8.8,684481,大森贵弘 Takahiro Omori,主演: 佐仓绫音 Ayane Sakura / 内山昂辉 K...,2011,日本,剧情爱情动画奇幻,触不到的恋人。
告白/自白/母亲,https://movie.douban.com/subject/4268598/,8.8,595807,中岛哲也 Tetsuya Nakashima,主演: 松隆子 Takako Matsu / 冈田将生 ...,2010,日本,剧情悬疑,没有一人完全善，也没有一人完全恶。
玛丽和麦克斯/MaryandMax/玛丽和马克思/巧克力情缘(台),https://movie.douban.com/subject/3072124/,9,1434436,亚当·艾略特 Adam Elliot,主演: 托妮·科莱特 Toni Collette / 菲利...,2009,澳大利亚美国,剧情喜剧动画,你是我最好的朋友，你是我唯一的朋友 。
七武士/七人の侍/七侠四义(港)/七剑客(港),https://movie.douban.com/subject/1295399/,9.3,655397,黑泽明 Akira Kurosawa,主演: 三船敏郎 Toshirô Mifune / 志村乔 ...,1954,日本,动作冒险剧情,
头号玩家/ReadyPlayerOne/玩家一号/挑战者1号(港),https://movie.douban.com/subject/4920389/,8.6,675375,史蒂文·斯皮尔伯格 Steven Spielberg,主演: 泰伊·谢里丹 Tye Sheri...,2018,美国,动作科幻冒险,写给影迷，动漫迷和游戏迷的一封情书。
模仿游戏/TheImitationGame/解码游戏(港)/模拟游戏,https://movie.douban.com/subject/10463953/,8.8,212433,莫滕·泰杜姆 Morten Tyldum,主演: 本尼迪克特·康伯巴奇 Benedict C...,2014,英国美国,剧情传记战争同性,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
惊魂记/Psycho/精神病患者/触目惊心(港),https://movie.douban.com/subject/1293181/,9,356226,阿尔弗雷德·希区柯克 Alfred Hitchcock,主演: 安东尼·博金斯 Antho...,1960,美国,悬疑惊悚恐怖,
大鱼/BigFish/大鱼奇缘(港)/大智若鱼(台),https://movie.douban.com/subject/1291545/,8.8,323569,蒂姆·波顿 Tim Burton,主演: 伊万·麦克格雷格 Ewan McGregor / 阿...,2003,美国,剧情爱情奇幻冒险,
机器人之梦/RobotDreams/再见机器人(台)/汪汪梦里人(港),https://movie.douban.com/subject/35426925/,9.1,817076,巴勃罗·贝格尔 Pablo Berger,主演: 伊万·拉班达 Ivan Labanda,2023,西班牙法国,剧情动画音乐,
心灵奇旅/Soul/灵魂奇遇记(港)/灵魂急转弯(台),https://movie.douban.com/subject/24733428/,8.7,611207,彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers,主演: 杰米·...,2020,美国,动画奇幻音乐,
"背靠背，脸对脸/背对背，脸对脸/BacktoBack,FacetoFace",https://movie.douban.com/subject/1307856/,9.5,689579,黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang,主演: 牛振华 Zhenhua N...,1994,中国大陆中国香港,剧情,
射雕英雄传之东成西就/射鵰英雄傳之東成西就/东成西就/大英雄(日本),https://movie.douban.com/subject/1316510/,8.7,1501588,刘镇伟 Jeffrey Lau,主演: 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...,1993,中国香港,喜剧奇幻武侠古装,
血战钢锯岭/HacksawRidge/钢锯岭/钢铁英雄(台),https://movie.douban.com/subject/26325320/,8.7,470150,梅尔·吉布森 Mel Gibson,主演: 安德鲁·加菲尔德 Andrew Garfield /...,2016,澳大利亚美国,剧情传记历史战争,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
你的名字。/君の名は。/你的名字/君之名,https://movie.douban.com/subject/26683290/,8.5,867316,新海诚 Makoto Shinkai,主演: 神木隆之介 Ryûnosuke Kamiki / 上...,2016,日本,剧情爱情动画,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
我是山姆/IAmSam/不一样的爸爸(港)/他不笨，他是我爸爸(台),https://movie.douban.com/subject/1306861/,9,567039,杰茜·尼尔森 Jessie Nelson,主演: Sean Penn / Dakota Fanning / Mi...,2001,美国,剧情家庭,
阳光姐妹淘/써니/阳光姊妹淘(港)/桑尼,https://movie.douban.com/subject/4917726/,8.8,570391,姜炯哲 Hyeong-Cheol Kang,主演: 沈恩京 Eun-kyung Shim / 闵孝琳 Hy...,2011,韩国,剧情喜剧,再多各自牛逼的时光，也比不上一起傻逼的岁月。
恐怖直播/더테러라이브/死亡“动”新闻(港)/恐怖攻击直播(台),https://movie.douban.com/subject/21360417/,8.7,477794,金秉祐 Byeong-woo Kim,主演: 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...,2013,韩国,剧情犯罪悬疑,恐怖分子的“秋菊打官司”。
黑客帝国3：矩阵革命/TheMatrixRevolutions/22世纪杀人网络3：惊变世纪(港)/骇客任务完结篇：最后战役(台),https://movie.douban.com/subject/1302467/,8.8,1065048,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,...,2003,美国,动作科幻,
末路狂花/Thelma&Louise/塞尔玛与路易丝,https://movie.douban.com/subject/1291992/,9,878144,雷德利·斯科特 Ridley Scott,主演: 吉娜·戴维斯 Geena Davis / 苏...,1991,美国英国法国,犯罪剧情惊悚,
高山下的花环/卫国军魂(港)/WreathsattheFootoftheMountain,https://movie.douban.com/subject/1422283/,9.5,441784,谢晋 Jin Xie,主演: 吕晓禾 Xiaohe Lü / 唐国强 Guoqiang Tang / 何...,1984(中国大陆),1985,中国大陆,
小丑/Joker/小丑起源电影：罗密欧/Romeo,https://movie.douban.com/subject/27119724/,8.7,1053487,托德·菲利普斯 Todd Phillips,主演: 杰昆·菲尼克斯 Joaquin Phoeni...,2019,美国加拿大,剧情犯罪惊悚,
谍影重重3/TheBourneUltimatum/叛谍追击3：最后通牒(港)/神鬼认证：最后通牒(台),https://movie.douban.com/subject/1578507/,8.9,153834,保罗·格林格拉斯 Paul Greengrass,主演: 马特·达蒙 Matt Damon / ...,2007,美国德国法国英国,动作悬疑惊悚,像吃了苏打饼一样干脆的电影。
"三块广告牌/ThreeBillboardsOutsideEbbing,Missouri/广告牌杀人事件(港)/意外(台)",https://movie.douban.com/subject/26611804/,8.7,358124,马丁·麦克唐纳 Martin McDonagh,主演: 弗兰西斯·麦克多蒙德 France...,2017,英国美国,剧情犯罪,怼天怼地，你走后，她与世界为敌。
电锯惊魂/Saw/恐惧斗室(港)/夺魂锯(台),https://movie.douban.com/subject/1417598/,8.7,315543,詹姆斯·温 James Wan,主演: 雷·沃纳尔 Leigh Whannell / 加利·艾...,2004,美国,悬疑惊悚恐怖,真相就在眼前。
无间道2/無間道II/无间道前传/InfernalAffairsII,https://movie.douban.com/subject/1307106/,8.8,571737,刘伟强 Andrew Lau / 麦兆辉 Alan Mak,主演: 陈冠希 Edison Chen / ...,2003,中国香港,剧情犯罪惊悚,
达拉斯买家俱乐部/DallasBuyersClub/续命枭雄(港)/药命俱乐部(台),https://movie.douban.com/subject/1793929/,8.8,373687,让-马克·瓦雷 Jean-Marc Vallée,主演: 马修·麦康纳 Matthew McCon...,2013,美国,剧情传记同性,Jared Leto的腿比女人还美！
疯狂原始人/TheCroods/古鲁家族(港/台),https://movie.douban.com/subject/1907966/,8.7,434810,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,主演...,2013,美国,喜剧动画冒险,老少皆宜，这就是好莱坞动画的魅力。
绿里奇迹/TheGreenMile/绿色奇迹(台)/绿色英里,https://movie.douban.com/subject/1300374/,8.9,481926,弗兰克·德拉邦特 Frank Darabont,主演: 汤姆·汉克斯 Tom Hanks / ...,1999,美国,犯罪剧情奇幻悬疑,
爱在午夜降临前/BeforeMidnight/情约半生(港)/爱在午夜希腊时(台),https://movie.douban.com/subject/10808442/,8.9,449643,理查德·林克莱特 Richard Linklater,主演: 伊桑·霍克 Ethan Hawke ...,2013,美国希腊,剧情爱情,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
疯狂的石头/CrazyStone,https://movie.douban.com/subject/1862151/,8.6,871614,宁浩 Hao Ning,主演: 郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin,2006,中国大陆中国香港,喜剧犯罪,中国版《两杆大烟枪》。
雨中曲/Singin'intheRain/万花嬉春(港/台),https://movie.douban.com/subject/1293460/,9.1,520363,斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,主演: 吉恩·...,1952,美国,喜剧歌舞爱情,
2001太空漫游/2001:ASpaceOdyssey/2001：星际漫游/2001：太空奥德赛,https://movie.douban.com/subject/1292226/,8.9,348243,斯坦利·库布里克 Stanley Kubrick,主演: 凯尔·杜拉 Keir Dullea / ...,1968,英国美国,科幻惊悚冒险,
海街日记/海街diary/海街女孩日记(港)/KamakuraDiary,https://movie.douban.com/subject/25895901/,8.8,360536,是枝裕和 Hirokazu Koreeda,主演: 绫濑遥 Haruka Ayase / 长泽雅美 M...,2015,日本,剧情家庭,是枝裕和的家庭习作。
风之谷/風の谷のナウシカ/风谷少女/KazenotaninoNaushika,https://movie.douban.com/subject/1291585/,8.9,245349,宫崎骏 Hayao Miyazaki,主演: 岛本须美 Sumi Shimamoto / 松田洋治 Y...,1984,日本,动画奇幻冒险,
上帝之城/CidadedeDeus/无主之城(港)/无法无天(台),https://movie.douban.com/subject/1292208/,9,634823,费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund  &nbsp...,,2002,巴西法国,犯罪剧情,
心迷宫/殡棺/TheCoffinintheMountain,https://movie.douban.com/subject/25917973/,8.7,853704,忻钰坤 Yukun Xin,主演: 霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ...,2014,中国大陆,剧情犯罪悬疑,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
英雄本色/ABetterTomorrow/GanglandBoss,https://movie.douban.com/subject/1297574/,8.6,575016,吴宇森 John Woo,主演: 周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...,1986,中国香港,剧情动作犯罪,
记忆碎片/Memento/凶心人(港)/记忆拼图(台),https://movie.douban.com/subject/1304447/,8.7,593001,克里斯托弗·诺兰 Christopher Nolan,主演: 盖·皮尔斯 Guy Pearce /...,2000,美国,犯罪剧情悬疑惊悚,
纵横四海/縱橫四海/OnceaThief,https://movie.douban.com/subject/1295409/,8.8,468634,吴宇森 John Woo,主演: 周润发 Yun-Fat Chow / 张国荣 Leslie Cheung...,1991,中国香港,剧情喜剧动作犯罪,
无敌破坏王/Wreck-ItRalph/破坏王拉尔夫/破坏王大冒险,https://movie.douban.com/subject/6534248/,8.7,206499,瑞奇·莫尔 Rich Moore,主演: 约翰·C·赖利 John C. Reilly / 萨拉...,2012,美国,喜剧动画奇幻冒险,迪士尼和皮克斯拿错剧本的产物。
卢旺达饭店/HotelRwanda/卢安达饭店(台),https://movie.douban.com/subject/1291822/,8.9,649413,特瑞·乔治 Terry George,主演: 唐·钱德尔 Don Cheadle / 苏菲·奥...,2004,英国南非意大利美国,剧情传记历史战争,当这个世界闭上双眼，他却敞开了怀抱。
牯岭街少年杀人事件/牯嶺街少年殺人事件/ABrighterSummerDay,https://movie.douban.com/subject/1292329/,8.9,331828,杨德昌 Edward Yang,主演: 张震 Chen Chang / 杨静怡 Lisa Yang / 张...,1991,中国台湾,剧情犯罪,
恐怖游轮/Triangle/汪洋血迷宮(台)/轮回三角,https://movie.douban.com/subject/3011051/,8.5,924563,克里斯托弗·史密斯 Christopher Smith,主演: 梅利莎·乔治 Melissa ...,2009,英国澳大利亚,科幻悬疑奇幻惊悚,不要企图在重复中寻找已经失去的爱。
东京教父/東京ゴッドファーザーズ/TokyoGodfathers,https://movie.douban.com/subject/1310177/,9,625103,今敏 Satoshi Kon,主演: 江守彻 Toru Emori / 梅垣义明 Yoshiaki Ume...,2003,日本,剧情喜剧动画,
小偷家族/万引き家族/Shoplifters/UneAffairedeFamille,https://movie.douban.com/subject/27622447/,8.7,257508,是枝裕和 Hirokazu Koreeda,主演: 中川雅也 Lily Franky / 安藤樱 Sa...,2018,日本,剧情犯罪家庭,我们组成了家。
魔女宅急便/魔女の宅急便/魔女琪琪(台)/小魔女限时专送,https://movie.douban.com/subject/1307811/,8.7,491359,宫崎骏 Hayao Miyazaki,主演: 高山南 Minami Takayama / 佐久间玲 Re...,1989,日本,动画奇幻冒险,
冰川时代/IceAge/冰河世纪/冰原历险记,https://movie.douban.com/subject/1291578/,8.7,507745,卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,主演...,2002,美国,喜剧动画冒险,
芙蓉镇/HibiscusTown,https://movie.douban.com/subject/1297880/,9.3,496970,谢晋 Jin Xie,主演: 刘晓庆 Xiaoqing Liu / 姜文 Wen Jiang / 郑在石...,1987,中国大陆,剧情爱情,
忠犬八公物语/ハチ公物語/八千公物语/阿八的故事,https://movie.douban.com/subject/1959195/,9.2,775534,神山征二郎 Seijirô Kôyama,主演: 仲代达矢 Tatsuya Nakadai /...,1987,日本,剧情,
岁月神偷/歲月神偷/1969太空漫游/EchoesOfTheRainbow,https://movie.douban.com/subject/3792799/,8.7,294948,罗启锐 Alex Law,主演: 吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...,2010,中国香港中国大陆,剧情家庭,岁月流逝，来日可追。
遗愿清单/TheBucketList/玩转身前事(港)/一路玩到挂(台),https://movie.douban.com/subject/1867345/,8.7,603163,罗伯·莱纳 Rob Reiner,主演: 杰克·尼科尔森 Jack Nicholson / 摩根...,2007,美国,冒险喜剧剧情,用剩余不多的时间，去燃烧整个生命。
荒蛮故事/Relatossalvajes/蛮荒故事/生命中最抓狂的小事(台),https://movie.douban.com/subject/24750126/,8.7,351876,达米安·斯兹弗隆 Damián Szifron,主演: 达里奥·葛兰帝内提 Darío...,2014,阿根廷西班牙,剧情喜剧犯罪,始于荒诞，止于更荒诞。
大佛普拉斯/TheGreatBuddha+,https://movie.douban.com/subject/27059130/,8.7,322189,黄信尧 Hsin-yao Huang,主演: 庄益增 Yizeng Zhuang / 陈竹昇 Chu-sh...,2017,中国台湾,剧情喜剧,人们可以登上月球，却永远无法探索人们内心的宇宙。
源代码/SourceCode/启动原始码(台)/危机解密(港),https://movie.douban.com/subject/3075287/,8.6,877046,邓肯·琼斯 Duncan Jones,主演: 杰克·吉伦哈尔 Jake Gyllenhaal / ...,2011,美国加拿大,科幻悬疑惊悚,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
